id,source,sender,subject,body,timestamp,category,priority_label,action_required,action_text,_label_source,_confidence
sms_442,gmail,,(none),,,security,high,1,Use code 01433 for verification; use OTP within 5 minutes.,human:accepted_llm,0.99
sms_443,gmail,,(none),,,security,1,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_458,gmail,,(none),,,transaction,high,1,Verify transaction; SMS BLOCKUPI if unauthorised.,human:accepted_rule,0.99
sms_459,gmail,,(none),,,shopping,high,1,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_472,gmail,,(none),Rey call cheauu ra,,notification,high,1,,human:edited,0.99
sms_478,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_54,gmail,,(none),,,security,high,1,Use OTP; do not share.,human:accepted_rule,0.99
sms_58,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_87,gmail,,(none),,,personal,low,0,,human:accepted_llm,0.9
sms_95,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_124,gmail,,(none),,,notification,high,1,Report unauthorised registration to your bank.,human:accepted_llm,0.99
sms_134,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
sms_157,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_229,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_235,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_276,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_278,gmail,,(none),,,transaction/promotion,high,1,Check Jio plan details and purchase if interested; click link www.jio.com/r/AeXnwS7gS,human:accepted_llm,0.95
sms_297,gmail,,(none),,,promotion,low,0,Verify transaction; SMS BLOCKUPI if unauthorised.,human:edited,0.99
sms_298,gmail,,(none),,,promotion,low,0,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_310,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_317,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_321,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_326,gmail,,(none),,,notification,low,0,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_310,gmail,,(none),,,promotion,medium,0,,human:accepted_llm,0.95
sms_317,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_321,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_326,gmail,,(none),,,notification,low,0,Verify transaction details and report if unauthorised.,human:edited,0.99
sms_348,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
sms_353,gmail,,(none),,,notification,low,0,,human:accepted_llm,0.99
sms_377,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
sms_385,gmail,,(none),Ticket,,personal,low,0,,human:accepted_llm,0.5
sms_391,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
sms_423,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_424,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
sms_442,gmail,,(none),,,security,high,1,Use code 01433 for verification; use OTP within 5 minutes.,human:accepted_llm,0.99
sms_443,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_458,gmail,,(none),,,transaction,medium,0,,human:accepted_llm,0.85
sms_459,gmail,,(none),,,shipping,medium,0,,human:accepted_llm,0.95
sms_472,gmail,,(none),Rey call cheauu ra,,notification,high,1,,human:edited,0.99
sms_478,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_480,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.95
sms_488,gmail,,(none),,,promotion,low,0,,human:accepted_llm,0.99
